,자동차검사소유형,위치,검사기술인력수,위도,경도,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부
0,민간,대전광역시,3,36.36607482,127.4088055,Y,Y,N,N,N,Y,Y
1,민간,대전광역시,4,36.37210705,127.4208051,Y,Y,N,N,N,Y,Y
2,민간,대전광역시,3,36.34826809,127.41495079999999,Y,Y,N,N,N,Y,Y
3,민간,경상북도,0,36.04292493,129.3474568,N,Y,N,N,N,Y,N
4,민간,경상북도,0,36.10302439,129.3715925,Y,Y,N,Y,N,Y,Y
5,민간,경상북도,0,35.99999311,129.3603881,N,Y,N,Y,N,Y,Y
6,민간,경상북도,0,35.99376275,129.3561965,Y,Y,N,Y,Y,Y,N
7,민간,경상북도,0,36.07759694,129.379476,Y,Y,N,N,N,Y,N
8,민간,경상북도,0,36.09719146,129.36854590000002,N,Y,N,N,N,Y,N
9,민간,경상북도,0,36.14425892,129.34967179999998,N,Y,N,Y,N,Y,N
10,민간,경상북도,0,35.99966537,129.36128390000002,N,Y,N,Y,N,Y,N
11,민간,경상북도,0,36.08394908,129.331292,Y,Y,Y,Y,Y,Y,Y
12,민간,전라남도,2,35.26590618,127.12143190000002,Y,Y,Y,N,N,N,N
13,민간,경상북도,1,36.13209554,128.1327771,N,Y,N,N,N,N,N
14,민간,경상북도,1,36.1431832,128.11938179999999,N,Y,N,N,N,N,N
15,민간,경상북도,1,36.15459087,128.1161005,N,Y,N,N,N,N,N
16,민간,경상북도,1,36.11214541,128.1234235,N,Y,N,N,N,N,N
17,민간,경상북도,1,36.12796572,128.1130517,N,Y,N,N,N,N,N
18,민간,경상북도,1,36.13471849,128.18463300000002,N,Y,N,N,N,N,N
19,민간,경상북도,1,36.12911133,128.13349399999998,N,Y,N,N,N,N,N
20,민간,경상북도,1,36.14562485,128.12369650000002,N,Y,N,N,N,N,N
21,민간,경상북도,1,36.16232246,128.2585189,N,Y,N,N,N,N,N
22,민간,경상북도,1,36.59309689,128.20922099999999,N,Y,N,N,N,N,N
23,민간,경상북도,1,36.58237607,128.1949584,N,Y,N,N,N,N,N
24,민간,경상북도,1,36.596551500000004,128.18783090000002,N,Y,N,N,N,N,N
25,민간,경상북도,1,36.71475544,128.1216378,N,Y,N,N,N,N,N
26,민간,경상북도,1,36.63610695,128.1721301,N,Y,N,N,N,N,N
27,민간,경상북도,1,36.58665006,128.199098,N,Y,N,N,N,N,N
28,민간,경상북도,1,36.58266728,128.2238308,N,Y,N,N,N,N,N
29,민간,서울특별시,2,37.48248663,126.9455949,N,Y,N,N,N,Y,Y
30,민간,강원특별자치도,2,37.16809024,128.9920094,Y,Y,N,N,N,N,N
31,민간,강원특별자치도,1,37.17917939,128.9749736,Y,Y,N,N,N,N,N
32,민간,서울특별시,0,37.504433,127.04494509999999,Y,Y,Y,N,N,Y,N
33,민간,경상북도,0,36.05904768,129.3461386,Y,Y,Y,Y,Y,Y,Y
34,민간,경상북도,0,35.99089312,129.4077027,N,Y,N,N,Y,Y,Y
35,민간,경상북도,0,36.12255954,129.3413091,N,Y,N,N,Y,Y,Y
36,민간,경상북도,1,36.124685,128.082138,N,Y,N,N,N,N,N
37,민간,전라북도,1,35.91544922,126.9818169,N,Y,N,N,N,N,Y
38,민간,전라북도,1,35.97193108,127.0271621,N,Y,N,N,N,N,Y
39,민간,전라북도,1,35.91932782,126.9795824,N,Y,N,N,N,N,Y
40,민간,전라북도,1,35.94457516,127.00331899999999,N,Y,N,N,N,N,Y
41,민간,전라북도,1,35.92563006,126.966778,N,Y,N,N,N,N,Y
42,민간,전라북도,1,35.96484218,126.97007659999998,N,Y,N,N,N,N,Y
43,민간,전라북도,1,35.96383965,126.947978,N,Y,N,N,N,N,Y
44,민간,전라북도,1,35.995430799999994,126.9503031,N,Y,N,N,N,N,Y
45,민간,전라북도,2,35.96944029,126.97844750000002,N,Y,N,N,N,Y,Y
46,민간,경기도,3,37.73357417,127.04895079999999,N,Y,N,N,N,Y,Y
47,민간,강원특별자치도,3,38.16365277,127.31542160000001,Y,Y,N,Y,Y,N,N
48,민간,강원특별자치도,2,38.21048035,127.22287539999999,Y,Y,N,N,Y,N,Y
49,민간,강원특별자치도,1,38.24452826,127.44477179999998,N,Y,N,N,N,N,Y
50,민간,강원특별자치도,1,38.18168208,127.32357759999998,Y,Y,N,N,N,N,N
51,민간,경상북도,0,36.64372796,128.4546357,N,N,N,N,N,N,N
52,민간,경상북도,4,36.66049065,128.483505,N,Y,N,Y,N,N,N
53,민간,경기도,0,36.972986,127.105297,Y,Y,N,Y,N,Y,Y
54,민간,경기도,0,36.984696,126.871682,Y,Y,N,Y,N,Y,Y
55,민간,경기도,0,37.052651000000004,127.078666,Y,Y,N,Y,N,Y,Y
56,민간,경기도,0,37.0502330428,126.9735991163,Y,Y,N,Y,N,Y,Y
57,민간,경기도,0,36.990396000000004,126.85785600000001,Y,Y,N,Y,N,Y,Y
58,민간,강원특별자치도,2,37.178670399999994,128.47417109999998,Y,Y,N,Y,N,Y,Y
59,민간,강원특별자치도,3,37.1840232,128.482622,N,Y,N,N,N,N,Y
60,민간,경기도,0,37.21770544,126.7290107,N,Y,N,N,N,Y,N
61,민간,대전광역시,3,36.34407374,127.35397350000001,Y,Y,N,N,N,Y,Y
62,민간,대전광역시,3,36.30762248,127.3707416,Y,Y,N,N,N,Y,Y
63,민간,대전광역시,3,36.305854,127.36991200000001,Y,Y,N,N,N,Y,Y
64,민간,대전광역시,3,36.30158586,127.3270612,Y,Y,N,N,N,Y,Y
65,민간,대전광역시,3,36.301953999999995,127.3301133,Y,Y,N,N,N,Y,Y
66,민간,대전광역시,4,36.301049600000006,127.325429,Y,Y,N,N,N,Y,Y
67,민간,대전광역시,3,36.3684909,127.4179108,Y,Y,N,N,N,Y,Y
68,민간,대전광역시,3,36.44502852,127.4075284,Y,Y,N,N,N,Y,Y
69,민간,경상북도,1,36.13446079,128.0334636,N,Y,N,N,N,N,N
70,민간,경상북도,1,36.11509138,128.157771,N,Y,N,N,N,N,N
71,민간,경상북도,1,36.1133484,128.1616948,N,Y,N,N,N,N,N
72,민간,경상북도,1,36.115077,128.1550033,N,Y,N,N,N,N,N
73,민간,경상남도,1,35.15462917,128.0835827,N,Y,N,N,N,N,Y
74,민간,경상남도,1,35.17337256,128.11341389999998,N,Y,N,N,N,N,Y
75,민간,인천광역시,0,37.46357122,126.63791770000002,N,Y,N,Y,N,Y,Y
76,민간,인천광역시,0,37.45159276,126.60325139999999,N,Y,N,Y,N,Y,Y
77,민간,인천광역시,0,37.43790906,126.6186115,N,Y,N,Y,N,Y,Y
78,민간,인천광역시,0,37.51242367,126.5042017,N,Y,N,Y,N,Y,Y
79,민간,인천광역시,0,37.43749156,126.62021709999999,N,Y,N,Y,N,Y,Y
80,민간,인천광역시,0,37.47973379,126.4519723,N,Y,N,Y,N,Y,N
81,민간,인천광역시,0,37.4365879,126.62406750000001,N,Y,N,Y,N,N,N
82,민간,인천광역시,0,37.43890375,126.6205351,N,Y,N,Y,N,Y,Y
83,민간,전라북도,1,35.40557775,127.3839991,N,Y,N,N,Y,N,Y
84,민간,충청남도,6,36.77355161,126.4439601,N,Y,N,N,N,Y,Y
85,민간,충청남도,4,36.78147112,126.49739720000001,N,Y,N,N,N,Y,Y
86,민간,충청남도,3,36.90822802,126.4407145,N,Y,N,N,N,Y,Y
87,민간,충청남도,2,36.76188865,126.4535791,N,Y,N,N,N,Y,Y
88,민간,충청남도,3,36.79160323,126.50534950000001,N,Y,N,N,N,Y,Y
89,민간,충청남도,4,36.83184426,126.44229109999999,N,Y,N,N,N,Y,Y
90,민간,충청남도,2,36.75200904,126.49962190000001,N,Y,N,N,N,Y,Y
91,민간,충청남도,3,36.69873874,126.5413179,N,Y,N,N,N,Y,Y
92,민간,충청남도,3,36.75822584,126.4502761,N,Y,N,N,N,Y,Y
93,민간,충청남도,3,36.91413925,126.44183159999999,N,Y,N,N,N,Y,Y
94,민간,충청남도,2,36.77102126,126.4357785,N,Y,N,N,N,Y,Y
95,민간,충청남도,3,36.75368012,126.4943513,N,Y,N,N,N,Y,Y
96,민간,경상남도,1,35.175306,128.118653,N,Y,N,N,N,N,Y
97,민간,경상남도,1,35.154713,128.079252,N,Y,N,N,N,N,Y
98,민간,경상남도,1,35.15465279,128.079779,N,Y,N,N,N,N,Y
99,민간,경상남도,1,35.182919,128.122771,N,Y,N,N,N,N,Y
100,민간,경상남도,1,35.183883,128.122784,N,Y,N,N,N,N,Y
101,민간,경상남도,1,35.169065,128.112068,N,Y,N,N,N,N,Y
102,민간,경상남도,1,35.120529,128.10026100000002,N,Y,N,N,N,N,Y
103,민간,경상남도,1,35.171099,128.105309,N,Y,N,N,N,N,Y
104,민간,경상남도,1,35.17069766,128.10681200000002,N,Y,N,N,N,N,Y
105,민간,경상남도,1,35.170627,128.109216,N,Y,N,N,N,N,Y
106,민간,경상남도,1,35.15618682,128.0649295,N,Y,N,N,N,N,Y
107,민간,대전광역시,3,36.32502563,127.43700700000001,Y,Y,N,N,N,Y,Y
108,민간,대전광역시,3,36.29593969,127.4590035,Y,Y,N,N,N,Y,Y
109,민간,대전광역시,3,36.291641,127.46228500000001,Y,Y,N,N,N,Y,Y
110,민간,대전광역시,3,36.28870783,127.4648074,Y,Y,N,N,N,Y,Y
111,민간,대전광역시,4,36.31136324,127.38807620000001,Y,Y,N,N,N,Y,Y
112,민간,대전광역시,3,36.34751498,127.4054199,Y,Y,N,N,N,Y,Y
113,민간,대전광역시,3,36.31468220000001,127.43446429999999,Y,Y,N,N,N,Y,Y
114,민간,대전광역시,3,36.34340913,127.38022820000002,Y,Y,N,N,N,Y,Y
115,민간,대전광역시,3,36.339667999999996,127.373205,Y,Y,N,N,N,Y,Y
116,민간,대전광역시,4,36.34722417,127.35400109999999,Y,Y,N,N,N,Y,Y
117,민간,대전광역시,3,36.32467621,127.37771380000001,Y,Y,N,N,N,Y,Y
118,민간,대전광역시,4,36.33745834,127.39121750000001,Y,Y,N,N,N,Y,Y
119,민간,대전광역시,3,36.36203256,127.305578,Y,Y,N,N,N,Y,Y
120,민간,대전광역시,3,36.26859064,127.4719618,Y,Y,N,N,N,Y,Y
121,민간,대전광역시,3,36.323093,127.471814,Y,Y,N,N,N,Y,Y
122,민간,대전광역시,3,36.323686,127.37789950000001,Y,Y,N,N,N,Y,Y
123,민간,부산광역시,0,35.18225698,129.199556,Y,Y,N,Y,Y,Y,Y
124,민간,부산광역시,0,35.20510328,129.1215421,Y,Y,N,Y,Y,Y,Y
125,민간,부산광역시,0,35.20494676,129.1205238,Y,Y,N,Y,Y,Y,Y
126,민간,부산광역시,0,35.18385095,129.2005696,Y,Y,N,Y,Y,Y,Y
127,민간,부산광역시,0,35.18389948,129.1189968,Y,Y,N,Y,Y,Y,Y
128,민간,경기도,3,37.7621399,126.7657187,N,Y,N,N,Y,Y,Y
129,민간,경기도,5,37.85792381,126.79635729999998,N,Y,N,N,N,Y,Y
130,민간,경기도,0,37.723585799999995,126.69995159999998,N,Y,N,N,N,Y,Y
131,민간,경기도,4,37.76190832,126.76786200000001,N,Y,N,N,N,Y,Y
132,민간,대전광역시,4,36.37781545,127.411974,Y,Y,N,N,N,Y,Y
133,민간,대전광역시,3,36.44329001,127.433499,Y,Y,N,N,N,Y,Y
134,민간,대전광역시,3,36.38351398,127.4243929,Y,Y,N,N,N,Y,Y
135,민간,대전광역시,2,36.37675982,127.410698,Y,Y,N,N,N,Y,Y
136,민간,대전광역시,3,36.431589,127.424182,Y,Y,N,N,N,Y,Y
137,민간,대전광역시,3,36.44436152,127.4331607,Y,Y,N,N,N,Y,Y
