자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
삼우자동차정비(합),민간,대전광역시 대덕구 대화로101,,36.36607482,127.4088055,042-627-5600,평일09:00-18:00+토요일09:00-13:00,1,3610,1064,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
새한현대서비스㈜,민간,대전광역시 대덕구 대전로1324,,36.37210705,127.4208051,042-634-1122,평일09:00-18:00+토요일09:00-13:00,1,3373,1730,4,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
신대덕자동차공업사,민간,대전광역시 대덕구 한남로 138번길 12,,36.34826809,127.4149508,042-623-7700,평일09:00-18:00+토요일09:00-13:00,1,1444,824,3,Y,Y,N,N,N,Y,Y,042-270-5851,대전광역시청,2021-10-26,6300000,대전광역시
포항자동차정비,민간,경상북도 포항시 북구 새마을로 124 (용흥동),,36.04292493,129.3474568,054-272-4614,평일09:00~18:00+토요일 09:00~12:00,1,1309,214,,N,Y,N,N,N,Y,N,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
양덕종합모터스,민간,경상북도 포항시 북구 흥해읍 삼흥로502번길 40,,36.10302439,129.3715925,054-253-3651,평일09:00~18:00+토요일 09:00~15:30,1,8962,2411,,Y,Y,N,Y,N,Y,Y,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
명성자동차검사정비,민간,경상북도 포항시 남구 연일읍 형산강남로436번길 8 (연일읍),,35.99999311,129.3603881,054-273-7722,평일09:00~18:00+토요일 09:00~12:00,1,1961,448,,N,Y,N,Y,N,Y,Y,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
광명종합정비(포항시),민간,경상북도 포항시 남구 연일읍 철강로107번길 52,,35.99376275,129.3561965,054-285-5242,평일09:00~18:00,1,1832,911,,Y,Y,N,Y,Y,Y,N,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
두마자동차종합정비,민간,경상북도 포항시 북구 삼흥로 171(장성동),,36.07759694,129.379476,054-242-5900,평일 08:30~18:00+토요일08:30~13:00,1,1876,463,,Y,Y,N,N,N,Y,N,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
성운종합정비,민간,경상북도 포항시 북구 흥해읍 삼흥로 445,,36.09719146,129.3685459,054-261-8900,평일09:00~18:00+토요일 09:00~12:00,1,31364,2164,,N,Y,N,N,N,Y,N,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
흥해종합정비,민간,경상북도 포항시 북구 흥해읍 동해대로 1934,,36.14425892,129.3496718,054-262-9008,평일 09:00~17:30+토요일 09:00~12:00,1,2694,484,,N,Y,N,Y,N,Y,N,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
㈜신동부종합정비,민간,경상북도 포항시 남구 연일읍 형산강남로436번길 13,,35.99966537,129.3612839,054-286-6688,평일 09:00~18:00+토요일 09:00~12:00,1,2141,1286,,N,Y,N,Y,N,Y,N,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
동아종합자동차정비,민간,경상북도 포항시 북구 흥해읍 초곡길 107,,36.08394908,129.331292,054-262-2626,평일 09:00~18:00+토요일 09:00~12:00,1,2872,516,,Y,Y,Y,Y,Y,Y,Y,,한국교통안전공단 대구경북본부,2023-03-28,5020000,경상북도 포항시
투투정비옥과1급자동차정비,민간,전라남도 곡성군 오산면 오산로 975,전라남도 곡성군 오산면 운곡리 19,35.26590618,127.1214319,061-363-0357,평일:09:00~18:00,3,1000,401.25,2,Y,Y,Y,N,N,N,N,061-360-2674,전라남도 곡성군,2023-03-01,4860000,전라남도 곡성군
삼영자동차정비공장,민간,경상북도 김천시 농공단지2길 12,경상북도 김천시 신음동 100-1,36.13209554,128.1327771,054-430-2477,08:30~18:00,1,4584,1082,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
김천제일종합정비공장,민간,경상북도 김천시 시청로 172,경상북도 김천시 신음동 569-1,36.1431832,128.1193818,054-432-3500,08:30~18:00,1,3165,730,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
영남종합정비,민간,경상북도 김천시 아홉사리길 8,경상북도 김천시 응명동 895-1,36.15459087,128.1161005,054-437-8541,08:30~17:30,1,6225,1569,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
김천자동차공업사,민간,경상북도 김천시 양금로 206,경상북도 김천시 황금동 129,36.11214541,128.1234235,054-439-3636,08:30~17:30,1,4227,996,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
안국자동차정비공장,민간,경상북도 김천시 평화장미길 87,경상북도 김천시 평화동 70-16,36.12796572,128.1130517,054-439-1244,08:30~18:00,1,912,508,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
황악모터스주식회사,민간,경상북도 김천시 남면 아포대로 348-7,경상북도 김천시 남면 초곡리 97,36.13471849,128.184633,054-431-7272,08:30~17:30,1,1650,945,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
서김천현대서비스,민간,경상북도 김천시 속구미길 65,경상북도 김천시 신음동 78-3,36.12911133,128.133494,054-433-1154,08:30~18:00,1,9352,1401,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
김천공단정비,민간,경상북도 김천시 공단로 269,경상북도 김천시 응명동 708-1,36.14562485,128.1236965,054-432-7166,08:30~17:30,1,4779,697,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
아포1급종합정비,민간,경상북도 김천시 아포읍 포아로 20,경상북도 김천시 아포읍 국사리 59-5,36.16232246,128.2585189,054-431-5004,08:30~18:00,1,2609,727,1,N,Y,N,N,N,N,N,054-420-6826,경상북도 김천시청 교통행정과,2023-03-15,5060000,경상북도 김천시
문경자동차공업(합),민간,경상북도 문경시 영신로 89(점촌동),경상북도 문경시 점촌동 11-1,36.59309689,128.209221,054-553-6000,(평일) 09:00~18:00,1,1488,968.59,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
동화자동차정비공장,민간,"경상북도 문경시 용지마길 11, 201동(윤직동)",경상북도 문경시 윤직동 587,36.58237607,128.1949584,054-555-0051,(평일) 09:00~18:00,1,5194,966.04,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
신국자동차공업사,민간,경상북도 문경시 모전로 177(모전동),경상북도 문경시 모전동 524,36.5965515,128.1878309,054-552-2118,(평일) 09:00~18:00,1,3884,1206,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
영진자동차정비공장,민간,경상북도 문경시 마성면 새재로 182-7,경상북도 문경시 마성면 남호리 305-2,36.71475544,128.1216378,054-550-6203,(평일) 09:00~18:00,1,2436,910.54,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
㈜세일,민간,경상북도 문경시 신기공단2길 5(신기동),경상북도 문경시 신기동 1106,36.63610695,128.1721301,054-554-1422,(평일) 09:00~18:00,1,3587.1,1190.58,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
영강자동차검사정비,민간,경상북도 문경시 윤직동2길 3,경상북도 문경시 윤직동 538,36.58665006,128.199098,054-553-7233,(평일) 09:00~18:00,1,985,217.25,1,N,Y,N,N,N,N,N,054-550-6146,경상북도 문경시,2023-04-14,5120000,경상북도 문경시
